Front,Back
What does Artificial Intelligence (AI) refer to?,The simulation of human intelligence in machines programmed to think and learn like humans.
What is Narrow AI?,AI specialized in performing a single specific task.
What is General AI?,AI that can perform any intellectual task that a human can do.
What is Super AI?,A theoretical form of AI that surpasses human intelligence.
Name two virtual assistants that use AI.,Siri and Alexa.
Give an example of AI in transportation.,Autonomous vehicles.
How does Netflix use AI?,Through recommendation systems based on user preferences.
What are three common applications of AI?,"Virtual assistants, recommendation systems, and fraud detection."
What is a benefit of AI related to data?,It provides data-driven insights.
How does AI improve efficiency?,By automating tasks and operating at high speed.
What is one concern related to AI and ethics?,Bias and fairness in algorithmic decisions.
What job-related challenge is posed by AI?,Potential job displacement due to automation.
How can AI affect personal information?,It can raise privacy concerns.
What kind of fraud can AI help detect?,Credit card fraud and cybersecurity threats.
What is a major theoretical risk of Super AI?,Surpassing human control and decision-making capability.
